SymInit: Symbol-SearchPath: '.;E:\Clownfish\ClownfishVoiceChanger;E:\Clownfish\ClownfishVoiceChanger;C:\WINDOWS;C:\WINDOWS\system32;SRV*C:\websymbols*http://msdl.microsoft.com/download/symbols;', symOptions: 530, UserName: 'shaik'
OS-Version: 6.2.9200 () 0x100-0x1
E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe:ClownfishVoiceChanger.exe (00007FF7B8940000), size: 843776 (result: 0), SymType: '-nosymbols-', PDB: 'E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe', fileVersion: 1.6.6.0
C:\WINDOWS\System32\clbcatq.dll:clbcatq.dll (00007FFA8C060000), size: 716800 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\clbcatq.dll', fileVersion: 2001.12.10941.16384
C:\WINDOWS\System32\Speech\Common\sapi.dll:sapi.dll (00007FFA79D30000), size: 1601536 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\Speech\Common\sapi.dll', fileVersion: 5.3.25805.0
C:\WINDOWS\System32\MMDevApi.dll:MMDevApi.dll (00007FFA7E4C0000), size: 638976 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\MMDevApi.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\System32\DEVOBJ.dll:DEVOBJ.dll (00007FFA8AA70000), size: 180224 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\DEVOBJ.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\cfgmgr32.dll:cfgmgr32.dll (00007FFA8AA20000), size: 311296 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\cfgmgr32.dll', fileVersion: 6.2.22000.1
C:\Windows\System32\speech_onecore\engines\tts\MSTTSEngine_OneCore.dll:MSTTSEngine_OneCore.dll (00007FFA6ABB0000), size: 2154496 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\speech_onecore\engines\tts\MSTTSEngine_OneCore.dll', fileVersion: 10.3.21207.0
C:\WINDOWS\SYSTEM32\msvcp110_win.dll:msvcp110_win.dll (00007FFA862D0000), size: 598016 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\msvcp110_win.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\winmmbase.dll:winmmbase.dll (00007FFA59490000), size: 167936 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\winmmbase.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\System32\Speech_OneCore\Common\sapi_onecore.dll:sapi_onecore.dll (00007FFA38AF0000), size: 4984832 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\Speech_OneCore\Common\sapi_onecore.dll', fileVersion: 5.3.22000.1
C:\WINDOWS\SYSTEM32\AudioSes.DLL:AudioSes.DLL (00007FFA76540000), size: 1921024 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\AudioSes.DLL', fileVersion: 6.2.22000.348
C:\WINDOWS\SYSTEM32\POWRPROF.dll:POWRPROF.dll (00007FFA89720000), size: 315392 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\POWRPROF.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\SspiCli.dll:SspiCli.dll (00007FFA8A160000), size: 270336 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\SspiCli.dll', fileVersion: 6.2.22000.556
C:\WINDOWS\SYSTEM32\USERENV.dll:USERENV.dll (00007FFA8A460000), size: 167936 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\USERENV.dll', fileVersion: 6.2.22000.1
